config,model,platform,interface,version,skills,category,task,n,started_at,valid,success,asserts_passed,asserts_failed,asserts_skipped,total_asserts,wall_time_s,rate_limit_wait_s,platform_time_s,local_time_s,sleep_calls,sleep_time_s,input_tokens,output_tokens,total_tokens,cost_usd,llm_calls,interface_calls,python_calls,bash_calls,read_calls,write_calls,edit_calls,glob_calls,grep_calls,todo_calls,skill_calls,failed_commands,denied_calls,error,run_dir
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,cli,5.1+alerting,none,feature,ingest,1,2026-06-17T18:13:52.897837+00:00,True,True,3,0,0,3,257.06,0.0,0.0,257.06,0,0.0,18031,1684,19715,0.011541,19,9,0,2,1,0,0,0,0,0,0,0,0,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/cli/5.1+alerting/no-skills/feature/ingest/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,cli,5.1+alerting,official,feature,ingest,1,2026-06-17T18:19:34.569496+00:00,True,True,3,0,0,3,155.33,0.0,0.0,155.33,0,0.0,13996,486,14482,0.007727,12,7,0,3,1,0,0,0,0,0,0,0,0,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/cli/5.1+alerting/official/feature/ingest/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,sdk,5.0.0,none,feature,ingest,1,2026-06-17T18:23:24.142733+00:00,True,True,3,0,0,3,107.0,0.0,0.0,107.0,0,0.0,41271,1799,43070,0.023334,9,1,0,0,3,1,0,0,0,0,0,0,0,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/sdk/5.0.0/no-skills/feature/ingest/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,sdk,5.0.0,official,feature,ingest,1,2026-06-17T18:26:19.084903+00:00,True,True,3,0,0,3,89.98,0.0,0.0,89.98,0,0.0,12794,971,13765,0.007853,7,1,0,0,3,1,0,0,0,0,0,0,0,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/sdk/5.0.0/official/feature/ingest/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,cli,5.1+alerting,none,feature,backfill,1,2026-06-17T18:28:55.561486+00:00,True,False,1,2,0,3,106.78,0.0,0.0,106.78,0,0.0,15572,957,16529,0.009222,12,9,0,2,4,0,0,0,0,0,0,0,1,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/cli/5.1+alerting/no-skills/feature/backfill/1
1_hw-full-cli-sdk-skills-opus,claude-opus-4-8,hopsworks,cli,5.1+alerting,none,feature,ingest,1,2026-06-17T18:32:32.326166+00:00,True,True,3,0,0,3,205.33,0.0,106.7,98.63,0,0.0,1775,5632,7407,0.959023,20,17,0,2,0,0,0,0,0,0,0,0,0,,results/1_hw-full-cli-sdk-skills-opus/claude-opus-4-8/hopsworks/cli/5.1+alerting/no-skills/feature/ingest/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,cli,5.1+alerting,official,feature,backfill,1,2026-06-17T18:32:05.240248+00:00,True,False,1,2,0,3,227.52,0.0,0.0,227.52,0,0.0,15604,907,16511,0.009163,17,12,0,4,0,0,0,0,0,0,0,0,1,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/cli/5.1+alerting/official/feature/backfill/1
2_hw-full-cli-sdk-skills-mistral-large,mistral-large-3,hopsworks,sdk,5.0.0,none,feature,backfill,1,2026-06-17T18:37:24.216313+00:00,True,True,3,0,0,3,192.95,0.0,0.0,192.95,0,0.0,18354,902,19256,0.01053,15,14,0,0,4,0,0,0,0,0,0,0,0,,results/2_hw-full-cli-sdk-skills-mistral-large/mistral-large-3/hopsworks/sdk/5.0.0/no-skills/feature/backfill/1
1_hw-full-cli-sdk-skills-opus,claude-opus-4-8,hopsworks,cli,5.1+alerting,official,feature,ingest,1,2026-06-17T18:37:19.058966+00:00,True,True,3,0,0,3,257.91,0.0,100.08,157.83,0,0.0,4012,7692,11704,1.251437,24,17,0,3,1,0,0,0,0,0,1,1,0,,results/1_hw-full-cli-sdk-skills-opus/claude-opus-4-8/hopsworks/cli/5.1+alerting/official/feature/ingest/1
1_hw-full-cli-sdk-skills-opus,claude-opus-4-8,hopsworks,sdk,5.0.0,none,feature,ingest,1,2026-06-17T18:43:04.173190+00:00,True,True,3,0,0,3,195.58,0.0,49.04,146.54,0,0.0,1765,8766,10531,0.889769,14,7,1,1,0,4,0,0,0,0,0,0,1,,results/1_hw-full-cli-sdk-skills-opus/claude-opus-4-8/hopsworks/sdk/5.0.0/no-skills/feature/ingest/1
